,id,album,name,artist,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,5ChkMS8OtdzJeqyybCc9R5,Thriller 25 Super Deluxe Edition,Billie Jean,Michael Jackson,False,83,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,4.897116666666666,4
1,2ZEwMwHaUECDWKkDh8rL0O,Soldier of Love,The Moon and the Sky,Sade,False,51,0.595,0.555,11,-7.144,0,0.032,0.61,0.000412,0.118,0.513,73.985,audio_features,spotify:track:2ZEwMwHaUECDWKkDh8rL0O,https://api.spotify.com/v1/tracks/2ZEwMwHaUECDWKkDh8rL0O,https://api.spotify.com/v1/audio-analysis/2ZEwMwHaUECDWKkDh8rL0O,4.459333333333333,4
2,5vdp5UmvTsnMEMESIF2Ym7,The Game (2011 Remaster),Another One Bites The Dust - Remastered 2011,Queen,False,83,0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,audio_features,spotify:track:5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7,https://api.spotify.com/v1/audio-analysis/5vdp5UmvTsnMEMESIF2Ym7,3.57755,4
3,3vCHmbyOgc6pgwLUWfU4pF,A Day At The Races (2011 Remaster),Somebody To Love - Remastered 2011,Queen,False,0,0.461,0.69,8,-6.958,1,0.0611,0.169,1.01e-06,0.113,0.353,110.915,audio_features,spotify:track:3vCHmbyOgc6pgwLUWfU4pF,https://api.spotify.com/v1/tracks/3vCHmbyOgc6pgwLUWfU4pF,https://api.spotify.com/v1/audio-analysis/3vCHmbyOgc6pgwLUWfU4pF,4.941333333333334,3
4,1tdltVUBkiBCW1C3yB4zyD,Yellow Submarine Songtrack,Yellow Submarine,The Beatles,False,64,0.616,0.636,1,-7.055,1,0.0325,0.208,0.0,0.517,0.654,110.618,audio_features,spotify:track:1tdltVUBkiBCW1C3yB4zyD,https://api.spotify.com/v1/tracks/1tdltVUBkiBCW1C3yB4zyD,https://api.spotify.com/v1/audio-analysis/1tdltVUBkiBCW1C3yB4zyD,2.6526666666666667,4
5,2OHym1q6nzgtT75UCNjjro,Joyride (Extended Version),Spending My Time,Roxette,False,69,0.42,0.574,4,-5.149,1,0.0292,0.238,0.000115,0.127,0.218,170.549,audio_features,spotify:track:2OHym1q6nzgtT75UCNjjro,https://api.spotify.com/v1/tracks/2OHym1q6nzgtT75UCNjjro,https://api.spotify.com/v1/audio-analysis/2OHym1q6nzgtT75UCNjjro,4.59445,4
6,2GbfY7VlG9j87Q2TEgqUOa,"Dancing with Strangers (Deluxe Edition, 2019 Remaster)",On the Beach - Summer '88; 2019 Remaster,Chris Rea,False,27,0.746,0.655,5,-9.892,0,0.0311,0.098,0.021,0.0694,0.962,128.186,audio_features,spotify:track:2GbfY7VlG9j87Q2TEgqUOa,https://api.spotify.com/v1/tracks/2GbfY7VlG9j87Q2TEgqUOa,https://api.spotify.com/v1/audio-analysis/2GbfY7VlG9j87Q2TEgqUOa,3.7666666666666666,4
7,7H3ojI1BsVy0dEJENqMt1k,Lovers Rock,By Your Side,Sade,False,72,0.653,0.429,11,-10.473,1,0.0297,0.0849,0.00371,0.0693,0.627,146.073,audio_features,spotify:track:7H3ojI1BsVy0dEJENqMt1k,https://api.spotify.com/v1/tracks/7H3ojI1BsVy0dEJENqMt1k,https://api.spotify.com/v1/audio-analysis/7H3ojI1BsVy0dEJENqMt1k,4.582216666666667,4
8,7o2CTH4ctstm8TNelqjb51,Appetite For Destruction,Sweet Child O' Mine,Guns N' Roses,True,18,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,5.908666666666667,4
9,7D5n2kpYH2WSqIyEO9MeXf,G N' R Lies,Patience,Guns N' Roses,True,8,0.457,0.266,6,-14.465,1,0.0313,0.711,0.000261,0.124,0.372,120.459,audio_features,spotify:track:7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/tracks/7D5n2kpYH2WSqIyEO9MeXf,https://api.spotify.com/v1/audio-analysis/7D5n2kpYH2WSqIyEO9MeXf,5.906666666666666,4
10,5txoZyuAmtCfmDjUCEphWm,Bohemian Rhapsody (The Original Soundtrack),Somebody To Love,Queen,False,66,0.466,0.698,8,-6.967,1,0.0629,0.164,0.0,0.127,0.349,109.772,audio_features,spotify:track:5txoZyuAmtCfmDjUCEphWm,https://api.spotify.com/v1/tracks/5txoZyuAmtCfmDjUCEphWm,https://api.spotify.com/v1/audio-analysis/5txoZyuAmtCfmDjUCEphWm,4.928883333333333,3
11,0SCk8WpBKSvK6QkSyixRAY,Ladies And Gentlemen... The Best Of George Michael,Father Figure,George Michael,False,54,0.48,0.387,3,-10.702,1,0.0271,0.225,2.48e-05,0.0819,0.254,102.027,audio_features,spotify:track:0SCk8WpBKSvK6QkSyixRAY,https://api.spotify.com/v1/tracks/0SCk8WpBKSvK6QkSyixRAY,https://api.spotify.com/v1/audio-analysis/0SCk8WpBKSvK6QkSyixRAY,5.672666666666666,4
12,1L94M3KIu7QluZe63g64rv,Ten,Alive,Pearl Jam,False,77,0.284,0.875,11,-6.069,0,0.0422,0.00752,0.000461,0.402,0.595,75.009,audio_features,spotify:track:1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,https://api.spotify.com/v1/audio-analysis/1L94M3KIu7QluZe63g64rv,5.681783333333334,4
13,62nQ8UZVqR2RMvkJHkcO2o,Ten,Jeremy,Pearl Jam,True,73,0.285,0.846,2,-6.472,1,0.0438,0.0404,0.0,0.182,0.287,108.808,audio_features,spotify:track:62nQ8UZVqR2RMvkJHkcO2o,https://api.spotify.com/v1/tracks/62nQ8UZVqR2RMvkJHkcO2o,https://api.spotify.com/v1/audio-analysis/62nQ8UZVqR2RMvkJHkcO2o,5.3037833333333335,4
